TimestampSw,TimestampHw,Raw,Filtered
1679349605490,263126098.000,17281.000,62.000
1679349605510,263146118.000,17281.000,64.000
1679349605531,263166137.000,17290.000,65.000
1679349605550,263186157.000,17290.000,66.000
1679349605571,263206176.000,17311.000,68.000
1679349605592,263226196.000,17311.000,71.000
1679349605610,263246246.000,17319.000,73.000
1679349605632,263266265.000,17319.000,74.000
1679349605650,263286285.000,17281.000,68.000
1679349605670,263306274.000,17281.000,57.000
1679349605692,263326293.000,17192.000,35.000
1679349605710,263346313.000,17192.000,7.000
1679349605730,263366333.000,17192.000,-13.000
1679349605752,263386352.000,17159.000,-32.000
1679349605770,263406372.000,17159.000,-50.000
1679349605790,263426391.000,17156.000,-62.000
1679349605810,263446411.000,17156.000,-70.000
1679349605830,263466430.000,17174.000,-72.000
1679349605850,263486450.000,17174.000,-70.000
1679349605869,263506469.000,17181.000,-66.000
1679349605890,263526489.000,17181.000,-60.000
1679349605910,263546508.000,17186.000,-54.000
1679349605930,263566528.000,17186.000,-48.000
1679349605950,263586547.000,17194.000,-42.000
1679349605970,263606597.000,17194.000,-35.000
1679349605990,263626617.000,17187.000,-31.000
1679349606012,263646606.000,17187.000,-27.000
1679349606029,263666625.000,17190.000,-24.000
1679349606050,263686645.000,17190.000,-21.000
1679349606070,263706665.000,17198.000,-17.000
1679349606093,263726684.000,17198.000,-13.000
1679349606109,263746704.000,17215.000,-7.000
1679349606130,263766723.000,17215.000,0.000
1679349606150,263786743.000,17238.000,7.000
1679349606170,263806762.000,17238.000,15.000
1679349606190,263826782.000,17240.000,22.000
1679349606210,263846801.000,17240.000,26.000
1679349606230,263866821.000,17246.000,30.000
1679349606250,263886840.000,17246.000,32.000
1679349606270,263906860.000,17251.000,34.000
1679349606292,263926879.000,17251.000,36.000
1679349606313,263946929.000,17257.000,37.000
1679349606332,263966949.000,17257.000,38.000
1679349606350,263986938.000,17268.000,39.000
1679349606370,264006958.000,17268.000,41.000
1679349606390,264026977.000,17272.000,42.000
1679349606412,264046997.000,17272.000,42.000
